Respondent?s name ,SL,Address  ,Mahalla/village,Upazila / Thana ,Zila (district) ,Landmark (renowned structure name/ road intersection) ,Location type,Name of supervisor ,Interviewer?s name ,GPS coordinates ,Interviewer visits ,Interview start time ,Interview end time ,Interviewer ID number,Respondent  consent,Contact number ,Age,Gender,Married,Can read a bangla letter ,Education,Name of Establishment / Store / Outlet owner,Type of business,Number of day store open (Weekly),Total household member,Adult household member,Income source,Common sell item (five number),Full time worker,Business duration,Previous occupation,Major goals for business,Main barriers and challenges ,Support Type,Training Type,Ownership type ,Business located ,Property ownership,Structure type of the store,Facilities,Trade license,Number of Employee,Number of support member(Family),Number of contractual employee,Total Employee, Average number customer,Average sell per customer,Percentage of known/regular customer,Credit offer,Monthly  credit sell percentage ,Income from daily sells,Expendature from daily sells ,Agreement with statement,Monetary problem for payment,Feel safe in cash payment ,Concern about money safeness,Cash Transactions difficulty,Feel lack of capital, Need  products in stock for better business  ,Maintaining accounts type, Mainatining accounts for goods,Maintaining  household expenses,Separate household and business expenses,Supplies of goods/merchandise,Overall supplies from one point,Payment Terms by Supply Mode,Payment Terms for company distributor ,Payment Terms for company/manufacturer,Payment terms for wholesalers,Payment terms in nearby haaat,Payment terms in same/nearby area,Payment terms in others (specify),Frequency of replenish  stock/procure goods and supplies,Credit or installment payment for goods in last year,Last year taken any personal/ business loan, Pending business loans,Amounts of pending loan,Amounts of current pending business loan,Largest loan taken location, Would take loan if possible ,Access to loan,Family members have feature (phone with internet connection facility) / basic phone , Family membersÿown a smartphone with a touchscreen,Family membersÿdo not own a phone,Have Personal Phone,Type of Phone,use of personal mobile phone,Challenges  of personal mobile phone,Usees of computer(personal/business),Internet Connectivity in store computer,Frequentness of receiving stock/services from  suppliers,Frequentness of payment to  suppliers,Payment Terms to Suppliers,Problem facing on time payment,Barriers through mobile account payment for suppliers,Access to services,Distance from the store, Cost to reach  from the store, Nearest bank branch (any bank),Nearest ATM,Nearest bKash/Rocket or other digital payment agent ,"Nearest place from where send or receive money (if it is one of the above mentioned, then repeat that  information) ","Nearest place where can recharge (buy airtime or top-up) your mobile (if it is one of the above mentioned, then repeat that  information) ",Have bank account,Last use of account,Bank Name,Bank account for business activity, Use your bank account,Reaching time (minutes) in bank,Cost to reach bank,Reasons of not having a bank account,Headed mobile money,Have any MFS account,Likeness  of three things  in mobile money service,Name three things like least about mobile money service,Name of mobile money service(if available),Personal or merchant account,Name three things you like most about transferring money via your mobile money serviceÿ,Name three things you like least about transferring money via your mobile money service,Last time heared MFS,Accepted MFS from customers,From time accepted MFS, Any changes of customers from using digital MFS,Frequentness of using  merchant account (for business purpose),User friendlyness of MFS ,Reason for not accceptance MFS, Make payments any mobile payment system to your suppliers,Reason not using MFS for suppliers,Acceptancy of payment through debit/credit card ,Percentage customer who pay using card,Cash,Pays using a debit/ credit card ,Pay through mobile payment service,make time to transactions,Cash2,Pays using a debit/ credit card 3,Pay through mobile payment service4,Benefits of receiving payments through mobile payment service,Problem facing for receiving mobile payment ,Face monthly limit barrier, Payments not received because of not getting system confirmation on time,Could not receive payments because of cell phone connectivity ,Customer could not make the payment because of system problem,Customer could not make the payment because of lack of balance on mobile money account,Customer made a mistake ,Transaction was slow/resulted in long lines ,Other (specify)  ,Increase the percentage of your sales (number of customer) that is paid through mobile payment service,Not  interested because increase the percentage,Member of  an asscociation,Name of Association,How many household members are 12-years-old or youngerÿ?,Do all children ages 6 to 12 currently attend a school/educational institutionÿ?,"In the past year, did any household member ever do work for which he/she was paid on a daily basisÿ?",How many rooms does your household occupy (excluding rooms used for businessÿ)?,What is the major construction material of the walls of the main roomÿ? ,Does the household own any televisionsÿ?,How many fans does the household ownÿ?,How many mobile phones does the household ownÿ?,"Does the household own any bicycles, motorcycle/scooters, or motor cars, etcÿ.?",Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable agricultural land (excluding uncultivable land and dwelling ? house/homestead landÿ)? 
,264,,,,,,RURAL,,,,Visit 2,,,264,No,,51,Male,No,No,Madrasha Education,,Conrfectionery,5,6,3,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,10,Job/Paid employment,,Tax rates and state fees,,"Legal support, Issues related registering and licensing of business",Family business,Separate from resident,Other,Permanent kiosk,Land phone line,Yes,1,0,1,,185,76,Between 26 - 50% customers are known,"Yes, sometimes",Don?t know,2618,Keep it at store,,Strongly disagree,Disagree somewhat,Disagree somewhat,Strongly disagree,Agree somewhat,Disagree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,No,Yes,Others,15,Cash & Credit both,Credit,Cash,Cash & Credit both,Credit,Cash,Cash & Credit both,2-3 days a week,"No, never",Yes,Yes,3,93525,From friends,Agree somewhat,Strongly disagree,1,1,2,No,,Send/Receive SMS Text messages,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",Once a week,2-3 times a week,Cash,I always pay on time,Transaction limit is too low,,10,10,1,2,1,5,2,Personal account,Yesterday,Dutch Bangla bank,No,Banks' website/online banking,32,27,I like to transact in cash,No,Yes,,,SureCash,Personal,,,Yesterday,Yes,2014,Somewhat increased,Daily,Difficult,Other,Yes,Others,No,No,71-80%,71-80%,51-60%,,628,1352,404,It is possible to pay remote payments through this,,"Yes, frequently","No, never",Rarely,Rarely,"No, never","No, never","No, never","Yes, frequently",,My phone or phone network is not working properly,Yes,Village level association (Informal),None,Yes,No,One,Mud brick or C.I. sheet/wood,Yes,Three or more,None,No,No
,265,,,,,,URBAN,,,,Visit 2,,,265,No,,33,Female,No,No,Madrasha Education,,Variety/General store,3,5,5,No Response,,No,15,Farming/agriculture,,Other please describe,,"Accounting, taxation, bookkeeping",Partnership,Separate from resident,Own,Large room(s) of pucca construction >100 sqmts,Business Cellphone (separate from owner?s personal),No,3,3,2,,223,15,Between 76% - 100% customers are known,"No, never",0%,2867,Keep it at home/room,,Disagree somewhat,Strongly disagree,Agree somewhat,Agree somewhat,Strongly agree,Disagree somewhat,Do not keep accounts daily,I keep my accounts by remembering,No,No,Wholesaler in wholesale market,12,Credit,Cash,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash,Everyday,Rarely,No,Yes,1,71149,From a village Level savings Group,Disagree somewhat,Strongly disagree,3,2,2,Yes,Smartphone,Checked phone credit balance,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",2-3 times a week,2-3 times a week,Mobile payment service,Other,It's difficult/inconvenient to use,,5,16,0,1,0,5,0,Business account,In the past 90 days,HSBC bank,No,Mobile app/mobile banking,14,37,I have to pay tax,No,No,,,MCash,Personal,,,In the past 7 days,No,2012,Somewhat decreased,Once a week,Very easy,Many customers do not have a MFS account,No,Others,No,Yes,Don?t know,71-80%,Don?t know,,1239,1652,1853,Other,,Rarely,Rarely,Rarely,"Yes, frequently","Yes, sometimes","Yes, sometimes","Yes, sometimes","Yes, sometimes",,I do not trust it,Yes,Business association,None,No members at age 6-to-12,Yes,Three or more,"Hemp/hay/bamboo, or other",Yes,One,Two,Yes,No
,266,,,,,,RURAL,,,,Visit 2,,,266,No,,59,Female,Yes,No,Post-Graduate University,,Retail grocery shop,3,5,4,Work in your own activity and you are your own boss (Self-employment)/ Business,,Yes,18,Farming/agriculture,,Other please describe,,Hard to say,Family business,Attached with residence,Rent,Kutcha shack,Electricity connection,Yes,3,1,1,,229,43,Between 51 - 75% customers are known,"Yes, regularly",91-100%,1974,Keep it at store,,Agree somewhat,Disagree somewhat,Disagree somewhat,Strongly disagree,Strongly agree,Agree somewhat,I keep my accounts by remembering,Manually enter in the computer,No,No,Company distributor,13,Cash,Cash & Credit both,Credit,Credit,Cash,Credit,Credit,Everyday,Rarely,Yes,Yes,5,91236,From a village Level savings Group,Agree somewhat,Agree somewhat,2,1,2,Yes,Feature/basic/camera phone,Transfer phone credit,Do not face any problems,Yes,"Yes, sometimes",Once a week,Less than once a month,Cash,I always pay on time,It's difficult/inconvenient to use,,7,45,1,2,4,0,3,Business account,Yesterday,United Commercial bank,No,Other,28,39,I do not need a bank account,No,No,,,OK,Merchant,,,More than 90 days ago,No,2015,Don?t know/refuse,Once a month,Difficult,Other,Yes,Supplier do not accept pyment through mobile payment system,No,Yes,0%,21-30%,41-50%,,627,2616,1907,Shorter lines/ customers have to wait less time,,Rarely,"Yes, frequently",Rarely,"Yes, frequently","Yes, sometimes",Rarely,Rarely,Rarely,,I need cash money to run my business,No,Co-opeartive,One,Yes,Yes,None,"Hemp/hay/bamboo, or other",Yes,One,None,No,Yes
,267,,,,,,URBAN,,,,Visit 1,,,267,No,,17,Female,Yes,Yes,Primary Education,,Cosmetic store,4,8,3,No Response,,Yes,20,Job/Paid employment,,Energy connection,,Other please specify,Family business,Attached with residence,Own,Permanent kiosk,Internet connection,No,3,2,1,,263,85,Between 26 - 50% customers are known,"No, never",31-40%,1948,Keep it at store,,Strongly disagree,Disagree somewhat,Strongly agree,Agree somewhat,Strongly agree,Agree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,I keep my accounts by remembering,No,No,Directly from the company/manufacturer,9,Cash,Cash & Credit both,Cash,Cash & Credit both,Cash,Cash,Cash & Credit both,2-3 days a week,"Yes, sometimes",Yes,Yes,5,91142,From a village Level savings Group,Agree somewhat,Strongly disagree,2,3,3,Yes,Feature/basic/camera phone,Others,Network connectivity problem / poor mobile service,Yes,"No, never",2-3 times a week,2-3 times a month,Other,I always pay on time,No trust on this service,,10,15,1,4,0,2,4,Personal account,Yesterday,Rupali bank,Yes,Mobile app/mobile banking,47,10,There are no banks nearby my residence,Yes,Yes,,,OK,Personal,,,In the past 7 days,Yes,2014,Don?t know/refuse,2-3 times a month,Somewhat difficult,I need cash money to run my business,No,Supplier do not accept pyment through mobile payment system,No,No,0%,81-90%,51-60%,,1003,1524,1816,Shorter lines/ customers have to wait less time,,Rarely,"Yes, sometimes","Yes, frequently","Yes, sometimes","No, never","No, never","Yes, sometimes",Rarely,,Customers do not have trust on MFS acccount,No,Village level association (Informal),Three or more,No members at age 6-to-12,Yes,One,Brick/cement,Yes,None,Three or more,No,Yes
,268,,,,,,URBAN,,,,Visit 1,,,268,No,,48,Female,No,No,University Degree,,Conrfectionery,3,6,1,Pension,,No,5,Farming/agriculture,,Tax rates and state fees,,Business plan writing,Single proprietorship,Separate from resident,Own,Semi-permanent kiosk,Electronic Cash register,Yes,3,1,2,,294,92,Up to 25% customers are known,"Yes, regularly",41-50%,303,Spend it immediately for personal expenses,,Disagree somewhat,Strongly disagree,Agree somewhat,Strongly agree,Disagree somewhat,Agree somewhat,Write it to my account book,Write it to my account book,Yes,Yes,Large store in nearby haaat,17,Credit,Cash,Credit,Credit,Cash,Credit,Cash & Credit both,4-6 days a week,"Yes, sometimes",No,No,4,,"From a bank, post office or microfinance institution",Agree somewhat,Agree somewhat,2,2,2,No,,Others,Phone runs out of battery,No,"Yes, frequently",Once a week,Once a week,Mobile payment service,Sometimes have to ask for more time or for a loan,No trust on this service,,2,45,4,5,0,5,3,Business account,Yesterday,Mercentile bank ltd.,No,Banks' website/online banking,51,45,It is not permitted by my religion,No,Yes,,,Rocket (DBBL),Merchant,,,In the past 30 days,No,2016,Somewhat decreased,2-3 times a week,Difficult,My phone or phone network is not working properly,No,Do not know how to make payment through mobile phone,Yes,No,41-50%,31-40%,71-80%,,1362,2049,440,It is safer than cash money,,"Yes, sometimes",Rarely,"No, never","Yes, frequently","No, never","Yes, sometimes",Rarely,"Yes, sometimes",,Monthly transaction limits are too low,Yes,Village level association (Informal),Two,No members at age 6-to-12,Yes,None,"Hemp/hay/bamboo, or other",Yes,Three or more,Three or more,Yes,Yes
,269,,,,,,RURAL,,,,Visit 2,,,269,No,,56,Male,No,Yes,Secondary Vocational Training complete/ certificate complete,,Other (Specify),3,6,2,Others,,Yes,7,Farming/agriculture,,Tax rates and state fees,,Business plan writing,Partnership,Attached with residence,Other,Semi pucca shack,Electricity connection,No,1,1,1,,116,31,Between 51 - 75% customers are known,"No, never",41-50%,1456,#VALUE!,,Agree somewhat,Strongly disagree,Disagree somewhat,Disagree somewhat,Agree somewhat,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,I keep my accounts by remembering,No,Yes,Others,5,Credit,Credit,Cash & Credit both,Cash,Cash & Credit both,Credit,Credit,Everyday,Rarely,Yes,Yes,3,68944,"From a bank, post office or microfinance institution",Disagree somewhat,Agree somewhat,1,2,3,Yes,Smartphone,Use Facebook or other social networking site,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",2-3 times a week,2-3 times a month,Through my bank account,I always pay on time,Other,,10,28,0,0,5,4,2,Personal account,Yesterday,Pubali  bank,No,Other,48,32,I have to pay tax,No,Yes,,,Others,Merchant,,,In the past 7 days,No,2016,Somewhat increased,2-3 times a week,Very easy,Many customers do not have money in their MFS account,No,High charge,Yes,Yes,51-60%,81-90%,61-70%,,1661,4006,195,It offers campaigns and discounts for customers,,"No, never","No, never","Yes, sometimes","Yes, sometimes","Yes, sometimes","No, never",Rarely,Rarely,,Monthly transaction limits are too low,Yes,Micro-credit group,Three or more,No,No,Three or more,"Hemp/hay/bamboo, or other",No,Two,Two,Yes,Yes
,270,,,,,,RURAL,,,,Visit 1,,,270,No,,52,Female,Yes,Yes,Secondary Vocational Training complete/ certificate complete,,Cosmetic store,6,5,1,No Response,,Yes,15,Other,,"Insufficient knowledge, information, business experience",,Technical training,Single proprietorship,Attached with residence,Own,Large room(s) of pucca construction >100 sqmts,Computer,No,0,2,0,,223,95,Between 51 - 75% customers are known,"No, never",11-20%,974,Don't have any money left at the end of the day,,Agree somewhat,Agree somewhat,Strongly agree,Strongly agree,Disagree somewhat,Disagree somewhat,Write it to my account book,Manually enter in the computer,No,Yes,Large store in same/nearby area,15,Credit,Credit,Cash & Credit both,Cash,Credit,Cash,Credit,Everyday,"Yes, sometimes",Yes,No,5,79959,From friends,Disagree somewhat,Disagree somewhat,2,3,2,No,,Others,Ran out of balance (airtime),No,"Yes, frequently",2-3 times a month,Once a week,Cash,Sometimes have to ask for more time or for a loan,Takes long time,,3,35,4,4,3,1,4,Business account,In the past 30 days,Bangladesh Krishi bank,No,Mobile app/mobile banking,11,35,There are no banks nearby my residence,Yes,Yes,,,Others,Personal,,,In the past 7 days,No,2015,Highly decreased,Daily,Difficult,Many customers do not have a working cellphone,No,Fear of hacking,No,Yes,91-100%,0%,Don?t know,,1571,4877,1184,It is possible to pay remote payments through this,,"No, never",Rarely,"Yes, frequently","No, never",Rarely,"Yes, sometimes",Rarely,"Yes, sometimes",,"Other, please specify",Yes,Village level association (Informal),Two,No,No,One,Brick/cement,Yes,None,Three or more,Yes,No
,271,,,,,,URBAN,,,,Visit 2,,,271,Yes,,70,Female,No,Yes,Others,,Retail grocery shop,2,6,2,No Response,,Yes,16,Other,,Tax rates and state fees,,Hard to say,Partnership,Separate from resident,Other,Kutcha shack,Land phone line,Yes,3,0,3,,205,91,Don't know,"Yes, regularly",61-70%,679,#VALUE!,,Agree somewhat,Strongly agree,Disagree somewhat,Strongly disagree,Strongly agree,Disagree somewhat,Manually enter in the computer,Manually enter in the computer,Yes,No,Others,10,Cash,Credit,Cash,Cash & Credit both,Cash,Credit,Cash,4-6 days a week,Rarely,No,Yes,1,93165,From a village Level savings Group,Agree somewhat,Agree somewhat,2,1,2,No,,Others,Do not face any problems,No,"Yes, sometimes",Once a month,Once a week,Cash,Often have to ask for more time or for a loan,Other,,5,47,4,3,4,3,0,Business account,In the past 30 days,IFIC bank,Yes,Other,47,11,There are no banks nearby my residence,Yes,No,,,OK,Personal,,,In the past 90 days,No,2015,Don?t know/refuse,Daily,Somewhat difficult,I need cash money to run my business,No,Others,Yes,Yes,31-40%,41-50%,1-10%,,661,927,1650,It is convenient,,"Yes, sometimes","No, never","No, never","Yes, frequently","No, never","Yes, sometimes",Rarely,"Yes, frequently",,Many customers do not have a MFS account,Yes,Co-opeartive,One,No,Yes,One,Brick/cement,Yes,Three or more,Two,Yes,Yes
,272,,,,,,URBAN,,,,Visit 1,,,272,Yes,,20,Female,No,Yes,University Degree,,Conrfectionery,4,8,2,No Response,,No,2,Other,,Monitoring and inspections by regulatory bodies,,Other please specify,Partnership,Attached with residence,Own,Permanent kiosk,Electronic Cash register,No,3,0,1,,208,38,Up to 25% customers are known,"No, never",81-90%,372,Deposit it in a bKash/Rocket or any other mobile money account,,Strongly disagree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,I keep my accounts by remembering,Do not keep accounts daily,Yes,Yes,Large store in nearby haaat,10,Cash & Credit both,Credit,Cash,Credit,Cash,Cash,Cash & Credit both,Everyday,Rarely,No,Yes,1,86800,"From a bank, post office or microfinance institution",Disagree somewhat,Disagree somewhat,3,3,2,No,,Others,Ran out of balance (airtime),Yes,"Yes, frequently",Once a week,Once a month,Mobile payment service,Other,Fee is too high,,2,31,4,2,3,4,5,One account for both- personal and business,Yesterday,Mutual Trust bank ltd.,No,Banks' website/online banking,59,20,I do not believe that my money will be safe in a bank,Yes,No,,,SureCash,Merchant,,,More than 90 days ago,Yes,2015,Don?t know/refuse,Once a week,Very easy,Many customers do not have a MFS account,Yes,High charge,Yes,No,21-30%,91-100%,51-60%,,609,2517,239,It helps the store?s marketing or attracts more customers,,Rarely,Rarely,"Yes, sometimes","No, never",Rarely,"No, never","Yes, sometimes","Yes, frequently",,Many customers do not think that it is convenient or useful,Yes,Village level association (Informal),None,Yes,Yes,Three or more,"Hemp/hay/bamboo, or other",Yes,Two,Two,No,Yes
,273,,,,,,RURAL,,,,Visit 2,,,273,No,,68,Male,Yes,Yes,Higher Secondary Education,,Wholesale cum retail grocery shop,5,8,4,Pension,,No,4,Farming/agriculture,,Access to finance,,Lobbying and protection of interests,Partnership,Separate from resident,Rent,Large room(s) of pucca construction >100 sqmts,Electronic Cash register,No,0,0,3,,219,94,Up to 25% customers are known,Rarely,0%,2040,Don't have any money left at the end of the day,,Disagree somewhat,Agree somewhat,Strongly agree,Agree somewhat,Disagree somewhat,Strongly disagree,Write it to my account book,I keep my accounts by remembering,Yes,No,Large store in nearby haaat,5,Cash,Credit,Credit,Credit,Credit,Credit,Cash,4-6 days a week,"Yes, sometimes",No,Yes,2,74654,"From a bank, post office or microfinance institution",Disagree somewhat,Agree somewhat,3,3,2,Yes,Feature/basic/camera phone,Checked phone credit balance,Phone not working properly (other than connectivity issues),No,Rarely,Once a week,2-3 times a month,Other,I always pay on time,Suppliers do not  want to receive payments through mobile money account,,10,29,1,4,3,2,4,Personal account,In the past 90 days,ShahjalalIslami bank ltd.,Yes,Banks' website/online banking,37,47,There are no banks nearby my residence,No,No,,,Rocket (DBBL),Personal,,,In the past 90 days,Yes,2015,Somewhat increased,2-3 times a month,Very easy,I do not trust it,No,High charge,No,No,21-30%,Don?t know,0%,,1308,1969,821,It is free,,"Yes, frequently","Yes, sometimes","Yes, sometimes","No, never",Rarely,"Yes, frequently","Yes, frequently","Yes, frequently",,Many customers do not have a working cellphone,No,Others,Three or more,No,Yes,One,Brick/cement,No,Two,Three or more,Yes,No
,274,,,,,,RURAL,,,,Visit 2,,,274,No,,43,Male,Yes,Yes,Secondary education,,Wholesale cum retail grocery shop,5,6,2,Pension,,Yes,7,Job/Paid employment,,Monitoring and inspections by regulatory bodies,,Hard to say,Single proprietorship,Attached with residence,Other,Small room of pucca construction < 100 sqmts,Land phone line,No,3,3,0,,256,20,Between 26 - 50% customers are known,"Yes, regularly",71-80%,948,Keep it at store,,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree somewhat,Strongly agree,Write it to my account book,Do not keep accounts daily,No,No,Directly from the company/manufacturer,5,Cash & Credit both,Cash,Cash & Credit both,Credit,Cash,Cash & Credit both,Cash,Everyday,"No, never",Yes,Yes,4,71593,"From a bank, post office or microfinance institution",Strongly disagree,Strongly disagree,3,3,2,No,,Use bKash mobile money transactions,Network connectivity problem / poor mobile service,No,"Yes, frequently",2-3 times a week,Once a month,Other,Often have to ask for more time or for a loan,Suppliers do not always have a mobile money account,,7,12,2,5,0,1,2,Business account,More than 90 days ago,Rupali bank,Yes,Mobile app/mobile banking,15,16,Others,No,Yes,,,Rocket (DBBL),Merchant,,,In the past 30 days,Yes,2012,Don?t know/refuse,Daily,Difficult,Many customers do not have money in their MFS account,No,Fear of hacking,Yes,Yes,1-10%,71-80%,61-70%,,281,3408,177,It helps the store?s marketing or attracts more customers,,"Yes, frequently",Rarely,"Yes, frequently","Yes, frequently",Rarely,"Yes, frequently","Yes, frequently","No, never",,Many customers do not have a MFS account,Yes,Co-opeartive,Three or more,No members at age 6-to-12,Yes,One,Mud brick or C.I. sheet/wood,Yes,One,One,Yes,Yes
,275,,,,,,URBAN,,,,Visit 1,,,275,No,,51,Female,Yes,No,Madrasha Education,,Other (Specify),6,7,4,No Response,,No,9,Other,,Tax rates and state fees,,"Accounting, taxation, bookkeeping",Single proprietorship,Separate from resident,Rent,Semi-permanent kiosk,Electricity connection,No,0,3,0,,233,55,Don't know,"No, never",91-100%,1597,Deposit it in a bank account,,Disagree somewhat,Strongly disagree,Agree somewhat,Strongly agree,Agree somewhat,Strongly agree,Have a barcode scanner that automatically scans item and keeps accounts,Have a barcode scanner that automatically scans item and keeps accounts,Yes,Yes,Directly from the company/manufacturer,18,Cash,Cash & Credit both,Cash,Cash,Credit,Cash,Cash,4-6 days a week,"Yes, sometimes",No,No,1,,"From a bank, post office or microfinance institution",Agree somewhat,Agree somewhat,1,3,1,Yes,Feature/basic/camera phone,Use bKash mobile money transactions,Ran out of balance (airtime),No,"Yes, sometimes",Less than once a month,Once a week,Other,Other,Other,,7,16,3,2,4,3,5,Business account,Yesterday,Bangladesh Krishi bank,No,Mobile app/mobile banking,26,37,I like to transact in cash,No,No,,,OK,Merchant,,,In the past 30 days,No,2017,Somewhat increased,2-3 times a month,Somewhat difficult,Monthly transaction limits are too low,Yes,Supplier do not accept pyment through mobile payment system,No,No,31-40%,71-80%,41-50%,,1560,2713,619,Other,,Rarely,"Yes, sometimes","Yes, frequently","No, never","Yes, sometimes","Yes, frequently","Yes, frequently","Yes, sometimes",,My phone or phone network is not working properly,Yes,Others,None,Yes,No,None,"Hemp/hay/bamboo, or other",No,None,None,Yes,No
,276,,,,,,RURAL,,,,Visit 1,,,276,No,,21,Male,No,Yes,Others,,Cosmetic store,5,6,3,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,15,Job/Paid employment,,Poor physical infrastructure,,"Legal support, Issues related registering and licensing of business",Partnership,Separate from resident,Own,Semi pucca shack,Internet connection,Yes,0,2,0,,253,89,Between 26 - 50% customers are known,Rarely,41-50%,2220,Deposit it in a bank account,,Disagree somewhat,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree somewhat,Write it to my account book,Manually enter in the computer,Yes,No,Others,18,Cash & Credit both,Cash & Credit both,Credit,Credit,Credit,Cash,Cash,4-6 days a week,Rarely,Yes,No,2,60015,From a village Level savings Group,Agree somewhat,Strongly disagree,2,1,1,Yes,Feature/basic/camera phone,Checked phone credit balance,"Phone runs out of storage (space for saving picture, apps and other information)",No,"No, never",Once a month,2-3 times a week,Other,Sometimes have to ask for more time or for a loan,Fee is too high,,9,24,0,4,3,1,3,Personal account,More than 90 days ago,Standard Chartered bank,No,Banks' website/online banking,15,21,I have to pay tax,Yes,No,,,Ucash,Personal,,,Yesterday,Yes,2015,Don?t know/refuse,Once a week,Very easy,It takes too long for transaction /results to long lines,Yes,Others,Yes,No,51-60%,81-90%,Don?t know,,1832,2682,233,Shorter lines/ customers have to wait less time,,Rarely,"No, never","No, never",Rarely,Rarely,Rarely,"No, never","No, never",,My phone or phone network is not working properly,No,Others,Two,No members at age 6-to-12,Yes,Three or more,Mud brick or C.I. sheet/wood,Yes,None,None,Yes,No
,277,,,,,,URBAN,,,,Visit 2,,,277,Yes,,70,Female,No,No,Others,,Wholesale cum retail grocery shop,5,8,1,Receive money from migrant family members (Remittances),,Yes,8,Job/Paid employment,,Energy connection,,Business plan writing,Family business,Attached with residence,Own,Permanent kiosk,Electronic Cash register,No,2,1,3,,164,57,Don't know,Rarely,71-80%,1570,Deposit it in a bank account,,Strongly disagree,Strongly disagree,Strongly agree,Disagree somewhat,Strongly agree,Strongly disagree,Write it to my account book,Write it to my account book,Yes,Yes,Large store in same/nearby area,5,Cash & Credit both,Credit,Cash,Cash,Credit,Credit,Cash,2-3 days a week,Rarely,Yes,Yes,3,44819,From a village Level savings Group,Disagree somewhat,Strongly disagree,3,2,2,No,,Checked phone credit balance,Ran out of balance (airtime),No,"Yes, sometimes",2-3 times a week,Less than once a month,Through my bank account,Often have to ask for more time or for a loan,It's difficult/inconvenient to use,,4,42,2,3,5,2,0,One account for both- personal and business,In the past 30 days,Rupali bank,Yes,Banks' website/online banking,59,41,I do not believe that my money will be safe in a bank,Yes,Yes,,,SureCash,Personal,,,In the past 90 days,Yes,2017,Highly decreased,Daily,Somewhat difficult,Customers do not have trust on MFS account,No,High charge,No,Yes,91-100%,81-90%,31-40%,,1396,1869,1868,It helps the store?s marketing or attracts more customers,,"Yes, sometimes","Yes, frequently","Yes, sometimes","Yes, sometimes","Yes, sometimes","Yes, frequently","Yes, frequently","Yes, sometimes",,It's difficult to get cash out from my balance,Yes,Others,Three or more,Yes,Yes,Three or more,Brick/cement,Yes,None,Two,No,No
,278,,,,,,RURAL,,,,Visit 1,,,278,Yes,,48,Female,Yes,No,Madrasha Education,,Other (Specify),3,6,3,Others,,No,2,Farming/agriculture,,Other please describe,,Finding and advise on equipment and technology,Family business,Separate from resident,Rent,Permanent kiosk,Computer,Yes,2,1,1,,254,57,Between 76% - 100% customers are known,"Yes, sometimes",21-30%,1543,Deposit it in Co-operative,,Disagree somewhat,Strongly agree,Disagree somewhat,Strongly disagree,Agree somewhat,Agree somewhat,Write it to my account book,I keep my accounts by remembering,Yes,No,Large store in nearby haaat,20,Cash & Credit both,Cash & Credit both,Cash & Credit both,Credit,Credit,Cash,Credit,2-3 days a week,"Yes, sometimes",No,No,1,,"From a bank, post office or microfinance institution",Agree somewhat,Disagree somewhat,2,1,2,Yes,Feature/basic/camera phone,Send/Receive SMS Text messages,Phone runs out of battery,Yes,"Yes, sometimes",Once a month,Less than once a month,Other,Other,The suppliers or I do not always have a working phone,,2,36,1,2,0,0,2,One account for both- personal and business,Yesterday,First Security Islami bank ltd.,No,Mobile app/mobile banking,5,35,Others,Yes,No,,,MCash,Personal,,,In the past 7 days,No,2016,About the same,Once a week,Difficult,It do not add any value to my business,Yes,High charge,Yes,No,Don?t know,51-60%,91-100%,,624,3072,980,It is possible to pay remote payments through this,,"Yes, frequently","Yes, sometimes","Yes, frequently","Yes, sometimes","Yes, sometimes",Rarely,"No, never","Yes, sometimes",,I do not trust it,No,Micro-credit group,None,No members at age 6-to-12,No,Two,Mud brick or C.I. sheet/wood,Yes,Two,None,No,No
